,product_id,country,category,gender,material,title,descriptions,price,color,size,weight,combined_text
11,51,Ghana,Bags,Unisex,Cotton,African tote bag,"An African print tote bag is a stylish and spacious accessory adorned with traditional African textile prints, often featuring bold and colorful patterns. These tote bags are not only fashion-forward but also practical for carrying a variety of items, making them a popular choice for everyday use and a distinctive expression of African heritage.",130.0,Multi-color,Medium,1,"Ghana Bags Unisex Cotton African tote bag An African print tote bag is a stylish and spacious accessory adorned with traditional African textile prints, often featuring bold and colorful patterns. These tote bags are not only fashion-forward but also practical for carrying a variety of items, making them a popular choice for everyday use and a distinctive expression of African heritage. 130.0 Multi-color Medium 1"
12,52,Ghana,Bags,Female,Cotton,African Print handbag,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,Multi-color,Medium,2,"Ghana Bags Female Cotton African Print handbag An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials. 150.0 Multi-color Medium 2"
13,53,Ghana,Bags,Female,Natural textile,Woven Tassel Bag,"An African woven tassel bag is an exquisite handcrafted accessory, showcasing intricate weaving techniques and often adorned with decorative tassels. These bags are known for their unique blend of artistry and functionality, providing a culturally rich and stylish way to carry your belongings.




",250.0,Multi-color,Medium,3,"Ghana Bags Female Natural textile Woven Tassel Bag An African woven tassel bag is an exquisite handcrafted accessory, showcasing intricate weaving techniques and often adorned with decorative tassels. These bags are known for their unique blend of artistry and functionality, providing a culturally rich and stylish way to carry your belongings.




 250.0 Multi-color Medium 3"
14,56,Ghana,Men Shirts,Unisex,Cotton,African Shirt,The African shirt is a vibrant and culturally significant garment often characterized by its colorful and intricate patterns. It is typically made from high-quality African textiles and serves as a symbol of tradition and identity in various African cultures.,100.0,White,Large,1,Ghana Men Shirts Unisex Cotton African Shirt The African shirt is a vibrant and culturally significant garment often characterized by its colorful and intricate patterns. It is typically made from high-quality African textiles and serves as a symbol of tradition and identity in various African cultures. 100.0 White Large 1
15,69,Ghana,Bags,Female,Solid,Ankara Handbag,"This Ankara ribbon bag is a vibrant and eye-catching accessory, featuring a colorful ribbon made from traditional African Ankara fabric. The bag is not only stylish but also functional, with ample storage space and a sturdy design, making it an ideal choice for carrying your essentials while adding a touch of African flair to your outfit.",150.0,Multi-color,Medium,0.5,"Ghana Bags Female Solid Ankara Handbag This Ankara ribbon bag is a vibrant and eye-catching accessory, featuring a colorful ribbon made from traditional African Ankara fabric. The bag is not only stylish but also functional, with ample storage space and a sturdy design, making it an ideal choice for carrying your essentials while adding a touch of African flair to your outfit. 150.0 Multi-color Medium 0.5"
16,76,Ghana,Bags,Female,Cotton, Ankara tote bag,"An Ankara tote bag is a stylish and versatile accessory crafted from vibrant and colorful Ankara fabric, which is popular in African fashion. These bags often feature a roomy interior, durable handles, and may include pockets, making them ideal for carrying essentials while adding a touch of African flair to your outfit.




",100.0,Multi-color,"Medium,Large",1,"Ghana Bags Female Cotton  Ankara tote bag An Ankara tote bag is a stylish and versatile accessory crafted from vibrant and colorful Ankara fabric, which is popular in African fashion. These bags often feature a roomy interior, durable handles, and may include pockets, making them ideal for carrying essentials while adding a touch of African flair to your outfit.




 100.0 Multi-color Medium,Large 1"
17,110,Ghana,Men Shirts,Male,Cotton,Black and white Shirt,Decent African Shirt,150.0,"Black,White","Small,Medium",0.5,"Ghana Men Shirts Male Cotton Black and white Shirt Decent African Shirt 150.0 Black,White Small,Medium 0.5"
18,111,Ghana,Men Shirts,Male,Cotton,Eswathi Shirt,"Stand out with this vibrant red and black African shirt! Made with comfort and style in mind, this unique piece is perfect for any occasion. ",150.0,"Black,Red","Small,Medium",0.5,"Ghana Men Shirts Male Cotton Eswathi Shirt Stand out with this vibrant red and black African shirt! Made with comfort and style in mind, this unique piece is perfect for any occasion.  150.0 Black,Red Small,Medium 0.5"
19,112,Ghana,Skirts,Female,Cotton,Ankara Two Piece,"Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go. ",140.0,"Red,Baige",Medium,0.5,"Ghana Skirts Female Cotton Ankara Two Piece Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go.  140.0 Red,Baige Medium 0.5"
20,113,Ghana,Skirts,Female,Cotton,Ankara Jumpsuit,"Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go. ",160.0,"Red,Baige","Medium,Large",0.5,"Ghana Skirts Female Cotton Ankara Jumpsuit Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go.  160.0 Red,Baige Medium,Large 0.5"
21,114,Ghana,Skirts,Female,Cotton,Ankara Jumpsuit,"Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go. ",150.0,"Black,Red","Medium,Large",0.5,"Ghana Skirts Female Cotton Ankara Jumpsuit Crafted from bold Ankara fabric bursting with vibrant colors and patterns, this jumpsuit is a statement piece. It combines cultural flair with effortless style, making you the center of attention wherever you go.  150.0 Black,Red Medium,Large 0.5"
22,115,Ghana,Men Shirts,Male,Cotton,African Shirt,"Embrace timeless elegance with our red and white African shirt. The crisp white fabric is adorned with striking red patterns, offering a sophisticated twist on traditional African design. Made for comfort and confidence, this shirt is perfect for adding a touch of cultural flair to your everyday wardrobe. ",160.0,"Red,White","Small,Medium",0.5,"Ghana Men Shirts Male Cotton African Shirt Embrace timeless elegance with our red and white African shirt. The crisp white fabric is adorned with striking red patterns, offering a sophisticated twist on traditional African design. Made for comfort and confidence, this shirt is perfect for adding a touch of cultural flair to your everyday wardrobe.  160.0 Red,White Small,Medium 0.5"
23,116,Ghana,Ladies Dresses,Female,Cotton,African  Boubu Dress,"Embrace the vibrant heritage of Africa with the Abuba African Dress, crafted from high-quality wax print fabric for a stunning and unique ensemble that radiates elegance and cultural richness.",150.0,"Yellow,brown",Large,0.5,"Ghana Ladies Dresses Female Cotton African  Boubu Dress Embrace the vibrant heritage of Africa with the Abuba African Dress, crafted from high-quality wax print fabric for a stunning and unique ensemble that radiates elegance and cultural richness. 150.0 Yellow,brown Large 0.5"
24,117,Ghana,Ladies Dresses,Female,Cotton,African  Boubu Dress,"Embrace the vibrant heritage of Africa with the Abuba African Dress, crafted from high-quality wax print fabric for a stunning and unique ensemble that radiates elegance and cultural richness.",150.0,"Yellow,brown",Medium,0.5,"Ghana Ladies Dresses Female Cotton African  Boubu Dress Embrace the vibrant heritage of Africa with the Abuba African Dress, crafted from high-quality wax print fabric for a stunning and unique ensemble that radiates elegance and cultural richness. 150.0 Yellow,brown Medium 0.5"
25,118,Ghana,Ladies Dresses,Female,Cotton,Silk Boubou Dress,"Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication.",250.0,Multi-color,Large,0.5,"Ghana Ladies Dresses Female Cotton Silk Boubou Dress Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication. 250.0 Multi-color Large 0.5"
26,119,Ghana,Ladies Dresses,Female,Cotton,Silk Boubou Dress,"Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication.",250.0,"Red,Baige",Large,0.5,"Ghana Ladies Dresses Female Cotton Silk Boubou Dress Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication. 250.0 Red,Baige Large 0.5"
27,120,Ghana,Ladies Dresses,Female,Cotton,Silk Boubou Dress,"Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication.",250.0,"Orange,Baige",Large,0.5,"Ghana Ladies Dresses Female Cotton Silk Boubou Dress Indulge in the timeless allure of the Silk African Bubu Dress, marrying luxurious silk with traditional African design for an effortlessly chic statement piece that transcends borders and captivates with its grace and sophistication. 250.0 Orange,Baige Large 0.5"
28,121,Ghana,Ladies Dresses,Female,Cotton,Two-Piece suit,"Elevate your style with our African Two-Piece Set, blending contemporary fashion with traditional African prints. Crafted for versatility and flair, each piece embodies the vibrancy and culture of Africa, offering a modern twist on timeless elegance.",200.0,Pink,"Small,Medium,Large,XL,XXL",0.5,"Ghana Ladies Dresses Female Cotton Two-Piece suit Elevate your style with our African Two-Piece Set, blending contemporary fashion with traditional African prints. Crafted for versatility and flair, each piece embodies the vibrancy and culture of Africa, offering a modern twist on timeless elegance. 200.0 Pink Small,Medium,Large,XL,XXL 0.5"
29,122,Ghana,Ladies Dresses,Female,Cotton,Bella Set ,Classic corporate ladies ready to wear two piece with an African touch.,250.0,Baige,"Small,Medium,Large,XL",0.5,"Ghana Ladies Dresses Female Cotton Bella Set  Classic corporate ladies ready to wear two piece with an African touch. 250.0 Baige Small,Medium,Large,XL 0.5"
30,123,Ghana,Ladies Dresses,Female,Cotton,Wangari Set,Versatile universal African two-piece.,250.0,Baige,"Small,Medium,Large,XL",0.5,"Ghana Ladies Dresses Female Cotton Wangari Set Versatile universal African two-piece. 250.0 Baige Small,Medium,Large,XL 0.5"
31,124,Ghana,Ladies Dresses,Female,Cotton,Mary Set,This is a classic and elegant two piece set made for the modern corporate woman.,250.0,Green,"Small,Medium,Large,XL,XXL",0.5,"Ghana Ladies Dresses Female Cotton Mary Set This is a classic and elegant two piece set made for the modern corporate woman. 250.0 Green Small,Medium,Large,XL,XXL 0.5"
32,125,Ghana,Kimonos,Female,Cotton,Afri Kimono,"The best and versatile kimono, designed to make you feel elegant and beautiful.",130.0,Black,"Small,Medium,Large,XL,XXL",0.5,"Ghana Kimonos Female Cotton Afri Kimono The best and versatile kimono, designed to make you feel elegant and beautiful. 130.0 Black Small,Medium,Large,XL,XXL 0.5"
